FID,ID_FISCALIZACAO_ELETRONICA,DESC_LOC_CONTROLADOR_TRANSITO,DESC_TIPO_CONTROLADOR_TRANSITO,VELOCIDADE_REGULAMENTAR,SENTIDO,SENTIDO_FISCALIZADO,NUM_SERIE_ATUAL,COD_SECUNDARIA,GEOMETRIA
FISCALIZACAO_ELETRONICA.18,18,"Av. Nossa Senhora do Carmo, 2135",Detector de Trânsito em Local Proibido,60,Bairro/Centro,Único,7200,,POINT (610788.304149337 7792962.55537393)
FISCALIZACAO_ELETRONICA.19,19,"Av. Nossa Senhora do Carmo, 2135",Detector de Trânsito em Local Proibido,60,Bairro/Centro,Único,7189,,POINT (610792.809298933 7792959.26339596)
FISCALIZACAO_ELETRONICA.20,20,"R. Haiti, 256 e oposto ao 256",Detector de Trânsito em Local Proibido,40,Sion/Belvedere e Belvedere/Sion,Ambos,7199,,POINT (610915.062594281 7792776.55886683)
FISCALIZACAO_ELETRONICA.22,22,Praça Maria Deusa Marra esquina com Av. Portugal,Detector de Invasão de Faixa de Exclusiva - MOVE,30,Bairro/Centro,Único,7192,,POINT (607938.389883649 7805640.14390218)
FISCALIZACAO_ELETRONICA.23,23,"Av. Waldyr Soeiro Emrich, 1476",Detector de Invasão de Faixa de Exclusiva - MOVE,60,Centro/Bairro,Único,7198,,POINT (604142.435177372 7790768.13673665)
FISCALIZACAO_ELETRONICA.24,24,"Av. Waldyr Soeiro Emrich, 1455",Detector de Invasão de Faixa de Exclusiva - MOVE,60,Bairro/Centro,Único,7202,,POINT (604099.779220994 7790693.62602713)
FISCALIZACAO_ELETRONICA.25,25,Av. Afonso Pena esquina com R. Maranhão,Controlador Eletrônico de Velocidade,60,Bairro/Centro,Único,3283,,POINT (612270.60781707 7795096.16599107)
FISCALIZACAO_ELETRONICA.26,26,"Av. Amazonas, 2086",Controlador Eletrônico de Velocidade,60,Centro/Bairro,Único,3285,,POINT (609630.636933408 7796281.6368542)
FISCALIZACAO_ELETRONICA.27,27,"Av. Amazonas, 2153",Controlador Eletrônico de Velocidade,60,Bairro/Centro,Único,3306,,POINT (609621.492873828 7796258.84907759)
FISCALIZACAO_ELETRONICA.28,28,"Av. Amazonas, 3984 e oposto ao 3984",Controlador Eletrônico de Velocidade,60,Bairro/Centro e Centro/Bairro,Ambos,3275,,POINT (607776.730951565 7795828.34854014)
FISCALIZACAO_ELETRONICA.29,29,"Av. Amazonas, 5400 e oposto ao 5400",Controlador Eletrônico de Velocidade,60,Bairro/Centro e Centro/Bairro,Ambos,3274,,POINT (606571.073400677 7795881.57443742)
FISCALIZACAO_ELETRONICA.30,30,"Av. Amazonas, 6894",Controlador Eletrônico de Velocidade,60,Bairro/Centro e Centro/Bairro,Ambos,3272,,POINT (605302.860904158 7795365.27409509)
FISCALIZACAO_ELETRONICA.31,31,"Av. Amazonas, 7800",Controlador Eletrônico de Velocidade,60,Bairro/Centro e Centro/Bairro,Ambos,3267,,POINT (604629.450813837 7795031.45891468)
FISCALIZACAO_ELETRONICA.32,32,Av. Amazonas a 95 metros da R. São Carlos,Controlador Eletrônico de Velocidade,60,Bairro/Centro,Único,3305,,POINT (603877.325617307 7794040.17774954)
FISCALIZACAO_ELETRONICA.33,33,"Av. Barão Homem de Melo, 3191 e oposto ao 3191",Controlador Eletrônico de Velocidade,60,Bairro/Centro e Centro/Bairro,Ambos,3296,,POINT (608483.076310216 7792201.29790428)
FISCALIZACAO_ELETRONICA.34,34,Av. Antônio Abraão Caram a 43 metros da Al. das Acácias,Controlador Eletrônico de Velocidade,60,Bairro/Centro e Centro/Bairro,Ambos,3373,,POINT (608515.500920894 7803602.64483226)
FISCALIZACAO_ELETRONICA.35,35,"Av. Bernardo Vasconcelos, 1720 e oposto ao 1720",Controlador Eletrônico de Velocidade,60,Aparecida/União e União/Aparecida,Ambos,3313,,POINT (611362.304787904 7801272.53471502)
FISCALIZACAO_ELETRONICA.36,36,Av. Bias Fortes esquina com R. Bernardo Guimarães,Controlador Eletrônico de Velocidade,60,Praça da Liberdade/Praça Raul Soares e Praça Raul ,Ambos,3299,,POINT (610797.968329455 7796038.69017282)
FISCALIZACAO_ELETRONICA.37,37,Av. Cristiano Machado a 12 metros da R. Pitangui,Controlador Eletrônico de Velocidade,60,Centro/Bairro,Único,3266,,POINT (611401.944512957 7798681.58005452)
FISCALIZACAO_ELETRONICA.38,38,"Av. Cristiano Machado, 673",Controlador Eletrônico de Velocidade,60,Bairro/Centro,Único,3295,,POINT (612045.67378688 7798933.95186391)
FISCALIZACAO_ELETRONICA.39,39,Av. Cristiano Machado a 27 metros do Viaduto Paulo Mendes Campos,Controlador Eletrônico de Velocidade,60,Centro/Bairro,Único,3273,,POINT (611871.641373272 7803228.88929914)
FISCALIZACAO_ELETRONICA.40,40,Av. Cristiano Machado a 89 metros da R. Cajuí,Controlador Eletrônico de Velocidade,60,Bairro/Centro,Único,3276,,POINT (611880.919962777 7803190.24422269)
FISCALIZACAO_ELETRONICA.41,41,"Av. Cristiano Machado, 9950",Controlador Eletrônico de Velocidade,70,Centro/Bairro,Único,3284,,POINT (611433.968382696 7805839.26008446)
FISCALIZACAO_ELETRONICA.42,42,Av. Cristiano Machado esquina com R. Coronel Joaquim Tibúrcio,Controlador Eletrônico de Velocidade,70,Bairro/Centro,Único,3290,,POINT (611054.75503277 7806183.07686333)
FISCALIZACAO_ELETRONICA.43,43,"Av. Cristiano Machado, 10691",Controlador Eletrônico de Velocidade,70,Bairro/Centro,Único,3271,,POINT (610808.22678364 7807014.08285995)
FISCALIZACAO_ELETRONICA.44,44,"Av. Cristiano Machado, 12001",Controlador Eletrônico de Velocidade,70,Bairro/Centro,Único,3292,,POINT (610297.661710483 7808162.9278137)
FISCALIZACAO_ELETRONICA.45,45,Av. Deputado Álvaro Antônio a 280m da Av. Adão Alves de Souza,Controlador Eletrônico de Velocidade,60,Betânia/Barreiro,Único,3318,,POINT (603726.71588262 7791086.8024756)
FISCALIZACAO_ELETRONICA.289,289,"Av. Cristiano Machado, 1700",Controlador Eletrônico de Velocidade,60,Centro/Bairro,Único,8961,,POINT (612210.995926376 7800039.3126043)
FISCALIZACAO_ELETRONICA.290,290,"Av. Cristiano Machado, 1700",Controlador Eletrônico de Velocidade,60,Centro/Bairro,Único,8962,,POINT (612216.556435713 7800041.05495679)
FISCALIZACAO_ELETRONICA.381,381,"Av. Getúlio Vargas, 1705",Detector de Trânsito em Local Proibido,60,Santo Antônio/Savassi,Único,122420152,,POINT (611093.860718653 7794830.83821934)
FISCALIZACAO_ELETRONICA.382,382,"Av. Cristiano Machado, 11100",Controlador Eletrônico de Velocidade,70,Centro/Bairro,Único,9085,,POINT (610684.836235279 7807364.01852938)
FISCALIZACAO_ELETRONICA.383,383,"Av. Cristiano Machado, 11100",Controlador Eletrônico de Velocidade,70,Centro/Bairro,Único,9087,,POINT (610678.443375641 7807360.42254583)
FISCALIZACAO_ELETRONICA.115,115,Av. Afonso Pena esquina com R. dos Caetés,Detector de Avanço de Semáforo,60,Praça Rio Branco/Mangabeiras,Único,590,,POINT (610884.407824939 7797449.97968334)
FISCALIZACAO_ELETRONICA.118,118,Av. Afonso Pena esquina com R. dos Caetés,Detector de Avanço de Semáforo,60,Mangabeiras/Praça Rio Branco,Único,589,,POINT (610901.212566105 7797458.04956421)
FISCALIZACAO_ELETRONICA.119,119,Av. Afonso Pena esquina com R. dos Tupinambás,Detector de Avanço de Semáforo,60,Praça Rio Branco/Mangabeiras,Único,280,,POINT (610967.540087378 7797308.01532192)
FISCALIZACAO_ELETRONICA.120,120,Av. Afonso Pena esquina com R. dos Tupinambás,Detector de Avanço de Semáforo,60,Mangabeiras/Praça Rio Branco,Único,298,,POINT (611010.888465284 7797274.49391759)
FISCALIZACAO_ELETRONICA.121,121,Rua São Paulo esquina com Av. Afonso Pena,Detector de Avanço de Semáforo,60,Lourdes/Praça Rio Branco,Único,588,,POINT (610982.029365561 7797269.08914746)
FISCALIZACAO_ELETRONICA.122,122,R. São Paulo esquina com Av. Afonso Pena,Detector de Avanço de Semáforo,60,Centro/Mangabeiras,Único,252,,POINT (610993.158594685 7797317.255905)
